commit	score	score_std	mean_rank	p_top3	n_sims	status	description
a42634f	1879.0	110.7	5.05	0.39	300	discard	auto 17 screen: {"need_bonus": 49.559, "flex_bonus": 11.851, "depth_quota_te": 4, "surplus_penalty": 30.042, "bench_bonus": 8.744, "wait_discount": 0.311, "wait_margin": 3.723, "injury_penalty": 79.442, "rb_early_bonus": 5.832, "avail_sigma": 7.516, "avail_strength"
a42634f	1855.3	118.2	5.72	0.31	300	discard	auto 18 screen: {"need_bonus": 65.511, "flex_bonus": 16.398, "depth_quota_wr": 4, "surplus_penalty": 16.602, "bench_bonus": 3.435, "wait_discount": 0.185, "wait_margin": 0.506, "injury_penalty": 72.076, "rb_early_bonus": -1.056, "qb_earliest_round": 3, "avail_sigma"
a42634f	1872.9	127.5	5.4	0.367	300	discard	auto 19 screen: {"need_bonus": 104.693, "flex_bonus": 9.447, "depth_quota_rb": 2, "depth_quota_wr": 4, "depth_quota_te": 2, "depth_quota_qb": 2, "surplus_penalty": 28.697, "bench_bonus": 4.102, "wait_discount": 0.038, "wait_margin": 1.69, "injury_penalty": 76.237, "
a42634f	1873.4	116.9	5.27	0.353	300	discard	auto 20 screen: {"need_bonus": 31.729, "flex_bonus": 6.142, "depth_quota_te": 2, "surplus_penalty": 20.081, "bench_bonus": 7.174, "wait_discount": 0.242, "wait_margin": 3.39, "injury_penalty": 124.339, "rb_early_bonus": 7.917, "avail_sigma": 12.361, "avail_strength"
a42634f	1868.5	119.2	5.29	0.367	300	discard	auto 21 screen: {"need_bonus": 32.357, "flex_bonus": 7.6, "depth_quota_rb": 2, "surplus_penalty": 24.815, "bench_bonus": 10.847, "wait_discount": 0.491, "wait_margin": 4.865, "injury_penalty": 111.533, "rb_early_bonus": 10.188, "qb_earliest_round": 3, "te_earliest_r
a42634f	1882.7	124.1	5.07	0.38	300	discard	auto 22 screen: {"need_bonus": 47.85, "flex_bonus": 12.019, "depth_quota_wr": 6, "depth_quota_qb": 2, "surplus_penalty": 28.042, "bench_bonus": 7.404, "wait_discount": 0.375, "wait_margin": 5.467, "injury_penalty": 77.574, "rb_early_bonus": 6.867, "qb_earliest_round
a42634f	1877.6	123.6	5.06	0.41	300	discard	auto 23 screen: {"need_bonus": 47.667, "flex_bonus": 15.688, "depth_quota_rb": 2, "surplus_penalty": 19.142, "bench_bonus": 16.269, "wait_discount": 0.392, "wait_margin": 4.663, "injury_penalty": 79.742, "rb_early_bonus": 16.968, "qb_earliest_round": 3, "avail_sigma
a42634f	1882.4	120.1	5.01	0.403	300	discard	auto 24 screen: {"need_bonus": 51.763, "flex_bonus": 13.974, "depth_quota_wr": 4, "surplus_penalty": 33.077, "bench_bonus": 7.194, "wait_discount": 0.283, "wait_margin": 4.098, "injury_penalty": 74.046, "rb_early_bonus": 7.223, "avail_sigma": 8.889, "avail_strength"
a42634f	1878.5	115.8	5.15	0.383	300	discard	auto 25 screen: {"need_bonus": 69.474, "flex_bonus": 12.873, "depth_quota_wr": 4, "depth_quota_te": 4, "surplus_penalty": 32.479, "bench_bonus": 5.633, "wait_discount": 0.427, "wait_margin": 7.283, "injury_penalty": 71.581, "rb_early_bonus": 4.94, "qb_earliest_round
a42634f	1856.4	125.2	5.76	0.313	300	discard	auto 26 screen: {"need_bonus": 49.44, "flex_bonus": 9.346, "depth_quota_rb": 2, "depth_quota_wr": 4, "surplus_penalty": 28.57, "bench_bonus": -1.447, "wait_discount": 0.187, "wait_margin": 6.436, "injury_penalty": 63.813, "rb_early_bonus": 4.517, "te_earliest_round"
a42634f	1877.1	124.5	5.31	0.37	300	discard	auto 27 screen: {"need_bonus": 55.614, "flex_bonus": 10.677, "depth_quota_wr": 4, "depth_quota_te": 4, "surplus_penalty": 25.229, "bench_bonus": 8.823, "wait_discount": 0.189, "wait_margin": 3.52, "injury_penalty": 72.4, "rb_early_bonus": 7.065, "qb_earliest_round":
a42634f	1870.1	124.9	5.44	0.347	300	discard	auto 28 screen: {"need_bonus": 24.943, "flex_bonus": 13.677, "depth_quota_rb": 4, "depth_quota_wr": 4, "depth_quota_te": 4, "surplus_penalty": 32.833, "bench_bonus": 7.033, "wait_discount": 0.266, "wait_margin": 6.425, "injury_penalty": 42.272, "rb_early_bonus": 5.1
a42634f	1869.4	117.9	5.42	0.35	300	discard	auto 29 screen: {"need_bonus": 38.982, "flex_bonus": 13.673, "depth_quota_rb": 2, "surplus_penalty": 31.322, "bench_bonus": 9.749, "wait_discount": 0.301, "wait_margin": 4.943, "kdef_rounds_from_end": 3, "injury_penalty": 91.012, "rb_early_bonus": 6.45, "avail_sigma
a42634f	1878.2	118.9	5.08	0.403	300	discard	auto 30 screen: {"need_bonus": 56.531, "flex_bonus": 14.9, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 24.256, "bench_bonus": 7.015, "wait_discount": 0.239, "wait_margin": 6.542, "injury_penalty": 94.299, "rb_early_bonus": 9.675, "avail_sigma": 3.84
a42634f	1893.2	118.8	4.76	0.422	2700	discard	auto 31 confirmed: {"need_bonus": 30.128, "flex_bonus": 8.052, "depth_quota_wr": 4, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 27.02, "bench_bonus": 9.18, "wait_discount": 0.351, "wait_margin": 3.318, "kdef_rounds_from_end": 3, "injury_penalty": 73.49
a42634f	1870.8	125.2	5.43	0.33	300	discard	auto 32 screen: {"need_bonus": 45.808, "flex_bonus": 8.884, "depth_quota_rb": 2, "depth_quota_wr": 4, "surplus_penalty": 22.988, "bench_bonus": 3.687, "wait_discount": 0.191, "wait_margin": 3.472, "injury_penalty": 64.816, "rb_early_bonus": 3.797, "te_earliest_round
a42634f	1889.7	116.8	4.83	0.415	2700	discard	auto 33 confirmed: {"need_bonus": 35.44, "flex_bonus": 18.693, "depth_quota_qb": 2, "surplus_penalty": 21.66, "bench_bonus": 7.043, "wait_discount": 0.45, "wait_margin": 4.763, "injury_penalty": 33.899, "rb_early_bonus": 8.163, "qb_earliest_round": 3, "te_earliest_roun
a42634f	1884.6	119.7	5.11	0.367	300	discard	auto 34 screen: {"need_bonus": 46.213, "flex_bonus": 13.797, "depth_quota_wr": 6, "depth_quota_te": 4, "surplus_penalty": 49.595, "bench_bonus": 10.376, "wait_discount": 0.334, "wait_margin": 4.02, "kdef_rounds_from_end": 3, "injury_penalty": 69.852, "rb_early_bonus
a42634f	1851.3	119.8	5.8	0.293	300	discard	auto 35 screen: {"need_bonus": 48.159, "flex_bonus": 8.979, "depth_quota_wr": 4, "surplus_penalty": 27.059, "bench_bonus": 7.703, "wait_discount": 0.369, "wait_margin": 4.533, "kdef_rounds_from_end": 1, "injury_penalty": 94.416, "rb_early_bonus": 6.152, "qb_earliest
a42634f	1859.7	117.0	5.65	0.293	300	discard	auto 36 screen: {"need_bonus": 65.37, "flex_bonus": 9.0, "depth_quota_rb": 2, "surplus_penalty": 22.143, "bench_bonus": 13.601, "wait_discount": 0.371, "wait_margin": 8.032, "kdef_rounds_from_end": 3, "injury_penalty": 57.143, "rb_early_bonus": 7.337, "qb_earliest_r
a42634f	1883.9	121.4	4.96	0.399	2700	discard	auto 37 confirmed: {"need_bonus": 19.289, "flex_bonus": 4.512, "depth_quota_wr": 6, "depth_quota_te": 4, "depth_quota_qb": 4, "surplus_penalty": 22.586, "bench_bonus": 6.846, "wait_discount": 0.54, "wait_margin": 5.182, "kdef_rounds_from_end": 3, "injury_penalty": 63.4
a42634f	1856.5	123.6	5.72	0.297	300	discard	auto 38 screen: {"need_bonus": 40.953, "flex_bonus": 10.86, "depth_quota_rb": 2, "depth_quota_wr": 6, "depth_quota_qb": 2, "surplus_penalty": 21.746, "bench_bonus": 8.965, "wait_margin": 4.131, "kdef_rounds_from_end": 1, "injury_penalty": 72.797, "rb_early_bonus": 5
a42634f	1859.2	119.4	5.57	0.34	300	discard	auto 39 screen: {"need_bonus": 15.301, "flex_bonus": 21.608, "depth_quota_rb": 4, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 57.003, "bench_bonus": 21.151, "wait_discount": -0.074, "wait_margin": 2.082, "injury_penalty": 76.515, "rb_early_bonus": 0
